date,letter
9/12/2022,A
9/13/2022,B
9/14/2022,C
9/15/2022,D
9/16/2022,E
9/19/2022,F
9/20/2022,G
9/21/2022,H
9/22/2022,A
9/23/2022,B
9/26/2022,C
9/27/2022,D
9/28/2022,E
9/29/2022,F
9/30/2022,G
10/3/2022,H
10/4/2022,A
10/5/2022,B
10/6/2022,C
10/11/2022,D
10/13/2022,E
10/14/2022,F
10/17/2022,G
10/18/2022,H
10/19/2022,A
10/20/2022,B
10/21/2022,C
10/24/2022,D
10/25/2022,E
10/26/2022,F
10/27/2022,G
10/28/2022,H
10/31/2022,A
11/1/2022,B
11/2/2022,C
11/3/2022,D
11/4/2022,E
11/7/2022,F
11/8/2022,G
11/9/2022,H
11/10/2022,A
11/14/2022,B
11/15/2022,C
11/16/2022,D
11/17/2022,E
11/18/2022,F
11/21/2022,G
11/22/2022,H
11/23/2022,A
11/29/2022,B
11/30/2022,C
12/1/2022,D
12/2/2022,E
12/5/2022,F
12/6/2022,G
12/7/2022,H
12/8/2022,A
12/9/2022,B
12/12/2022,C
12/13/2022,D
12/14/2022,E
12/15/2022,F
12/16/2022,G
12/19/2022,H
12/20/2022,A
1/3/2023,B
1/4/2023,C
1/5/2023,D
1/6/2023,E
1/9/2023,F
1/10/2023,G
1/11/2023,H
1/20/2023,A
1/23/2023,B
1/24/2023,C
1/25/2023,D
1/26/2023,E
1/27/2023,F
1/30/2023,G
1/31/2023,H
2/1/2023,A
2/2/2023,B
2/3/2023,C
2/6/2023,D
2/7/2023,E
2/8/2023,F
2/9/2023,G
2/10/2023,H
2/13/2023,A
2/14/2023,B
2/15/2023,C
2/16/2023,D
2/21/2023,E
2/22/2023,F
2/23/2023,G
2/24/2023,H
2/27/2023,A
2/28/2023,B
3/1/2023,C
3/2/2023,D
3/3/2023,E
3/6/2023,F
3/7/2023,G
3/8/2023,H
3/9/2023,A
3/10/2023,B
3/13/2023,C
3/14/2023,D
3/15/2023,E
3/16/2023,F
3/20/2023,G
3/21/2023,H
3/22/2023,A
3/23/2023,B
3/24/2023,C
3/27/2023,D
3/28/2023,E
3/29/2023,F
3/30/2023,G
3/31/2023,H
4/3/2023,A
4/4/2023,B
4/5/2023,C
4/17/2023,D
4/18/2023,E
4/20/2023,F
4/21/2023,G
4/24/2023,H
4/25/2023,A
4/26/2023,B
4/27/2023,C
4/28/2023,D
5/1/2023,E
5/2/2023,F
5/3/2023,G
5/4/2023,H
5/5/2023,A
5/8/2023,B
5/9/2023,C
5/10/2023,D
5/11/2023,E
5/12/2023,F
5/15/2023,G
5/16/2023,H
5/17/2023,A
5/18/2023,B
5/19/2023,C
5/22/2023,D
5/23/2023,E
5/24/2023,F
5/25/2023,G
5/26/2023,H